#K-Path  Band-1   Band-2   Band-3   Band-4      ...   Band-n
  0.0000  -16.3961  -16.2662  -16.2662  -13.2870  -13.2870  -13.2870  -13.0723  -13.0723   -2.7510   -2.7510   -2.5591   -2.5591   -2.5591   -1.9175   -1.9175   -1.9175   -1.3648   -1.3648   -1.3648   -1.2990   -1.2990   -1.2990   -1.2963    0.4660    6.2215    6.2215    6.2215    8.9364
  0.0323  -16.3958  -16.2666  -16.2666  -13.2871  -13.2871  -13.2871  -13.0735  -13.0723   -2.7513   -2.7509   -2.5671   -2.5592   -2.5592   -1.9178   -1.9178   -1.9175   -1.4037   -1.3660   -1.3657   -1.3657   -1.2996   -1.2996   -1.1819    0.4712    6.2011    6.2210    6.2210    8.6594
  0.0645  -16.3945  -16.2666  -16.2658  -13.2872  -13.2872  -13.2871  -13.0770  -13.0723   -2.7519   -2.7505   -2.5858   -2.5579   -2.5579   -1.9182   -1.9182   -1.9176   -1.4989   -1.3660   -1.3660   -1.3641   -1.3006   -1.3006   -1.0564    0.4867    6.1456    6.2205    6.2205    8.6709
  0.0968  -16.3924  -16.2666  -16.2641  -13.2873  -13.2873  -13.2871  -13.0827  -13.0723   -2.7528   -2.7498   -2.6149   -2.5543   -2.5543   -1.9190   -1.9190   -1.9175   -1.5831   -1.3658   -1.3658   -1.3648   -1.3017   -1.3017   -0.9232    0.5124    6.0610    6.2207    6.2207    8.6938
  0.1291  -16.3897  -16.2662  -16.2622  -13.2874  -13.2874  -13.2871  -13.0906  -13.0722   -2.7542   -2.7490   -2.6552   -2.5487   -2.5487   -1.9198   -1.9198   -1.9175   -1.6576   -1.3668   -1.3668   -1.3649   -1.3023   -1.3023   -0.7835    0.5474    5.9526    6.2216    6.2216    8.6102
  0.1613  -16.3861  -16.2661  -16.2599  -13.2876  -13.2876  -13.2871  -13.1003  -13.0722   -2.7558   -2.7481   -2.7029   -2.5429   -2.5429   -1.9208   -1.9208   -1.9174   -1.7222   -1.3691   -1.3691   -1.3660   -1.3023   -1.3023   -0.6376    0.5913    5.8293    6.2219    6.2219    8.4551
  0.1936  -16.3825  -16.2660  -16.2571  -13.2878  -13.2878  -13.2871  -13.1117  -13.0722   -2.7578   -2.7577   -2.7451   -2.5360   -2.5360   -1.9216   -1.9216   -1.9174   -1.7804   -1.3733   -1.3733   -1.3671   -1.3009   -1.3009   -0.4895    0.6432    5.6973    6.2224    6.2224    8.2876
  0.2259  -16.3785  -16.2659  -16.2537  -13.2881  -13.2881  -13.2870  -13.1245  -13.0722   -2.8122   -2.7599   -2.7449   -2.5283   -2.5283   -1.9223   -1.9223   -1.9173   -1.8312   -1.3796   -1.3796   -1.3683   -1.2983   -1.2983   -0.3398    0.7019    5.5621    6.2230    6.2230    8.1093
  0.2582  -16.3745  -16.2652  -16.2496  -13.2883  -13.2883  -13.2870  -13.1382  -13.0722   -2.8687   -2.7622   -2.7435   -2.5188   -2.5188   -1.9225   -1.9225   -1.9172   -1.8762   -1.3862   -1.3862   -1.3704   -1.2946   -1.2946   -0.1897    0.7662    5.4279    6.2242    6.2242    7.9236
  0.2904  -16.3699  -16.2650  -16.2450  -13.2886  -13.2886  -13.2870  -13.1527  -13.0721   -2.9233   -2.7646   -2.7420   -2.5102   -2.5102   -1.9222   -1.9222   -1.9171   -1.9150   -1.3957   -1.3957   -1.3717   -1.2888   -1.2888   -0.0415    0.8352    5.2989    6.2252    6.2252    7.7352
  0.3227  -16.3661  -16.2649  -16.2403  -13.2888  -13.2888  -13.2870  -13.1673  -13.0721   -2.9762   -2.7671   -2.7405   -2.5014   -2.5014   -1.9505   -1.9215   -1.9215   -1.9170   -1.4068   -1.4068   -1.3730   -1.2835   -1.2835    0.1020    0.9061    5.1772    6.2262    6.2262    7.5453
  0.3550  -16.3627  -16.2648  -16.2358  -13.2891  -13.2891  -13.2870  -13.1819  -13.0721   -3.0262   -2.7695   -2.7391   -2.4927   -2.4927   -1.9834   -1.9203   -1.9203   -1.9169   -1.4193   -1.4193   -1.3736   -1.2782   -1.2782    0.2399    0.9766    5.0652    6.2274    6.2274    7.3564
  0.3872  -16.3596  -16.2651  -16.2310  -13.2894  -13.2894  -13.2870  -13.1959  -13.0721   -3.0715   -2.7719   -2.7376   -2.4848   -2.4848   -2.0111   -1.9185   -1.9185   -1.9169   -1.4319   -1.4319   -1.3763   -1.2728   -1.2728    0.3697    1.0454    4.9669    6.2285    6.2285    7.1740
  0.4195  -16.3567  -16.2650  -16.2259  -13.2896  -13.2896  -13.2870  -13.2089  -13.0721   -3.1110   -2.7740   -2.7363   -2.4771   -2.4771   -2.0344   -1.9168   -1.9163   -1.9163   -1.4437   -1.4437   -1.3777   -1.2674   -1.2674    0.4901    1.1098    4.8832    6.2299    6.2299    7.0018
  0.4518  -16.3540  -16.2649  -16.2210  -13.2899  -13.2899  -13.2870  -13.2207  -13.0721   -3.1453   -2.7759   -2.7351   -2.4700   -2.4700   -2.0544   -1.9167   -1.9136   -1.9136   -1.4544   -1.4544   -1.3788   -1.2616   -1.2616    0.5992    1.1664    4.8150    6.2312    6.2312    6.8426
  0.4840  -16.3526  -16.2641  -16.2166  -13.2900  -13.2900  -13.2870  -13.2308  -13.0720   -3.1736   -2.7775   -2.7341   -2.4635   -2.4635   -2.0724   -1.9167   -1.9107   -1.9107   -1.4641   -1.4641   -1.3771   -1.2577   -1.2577    0.6936    1.2141    4.7627    6.2326    6.2326    6.7014
